wwtp,prevind,fit,lag,aic,aicall,aictest
comb,positive tests,orig-raw_data,-10,214.65284967588508,365.3050517558082,156.18320673094166
comb,positive tests,raw_data,-10,104.75737525046725,77.0681058639754,-50.99883649430513
comb,test positivity rate,orig-raw_data,-10,215.3415510614647,471.0701964871351,239.36283316689202
comb,test positivity rate,raw_data,-10,12.506369259379596,79.76768943179921,67.6551967878411
comb,hospital admissions,orig-raw_data,-10,226.22840405487796,421.2707226825489,195.96091643353856
comb,hospital admissions,raw_data,-10,-44.09315517578824,-118.67868759729289,-71.17859249120653
comb,Cook County beds in use,orig-raw_data,-10,217.3517721295305,416.56417759519894,198.2047389247856
comb,Cook County beds in use,raw_data,-10,-48.230823611130575,-104.67948421561584,-49.4351454646018
comb,positive tests,orig-only_flow_norm,-10,246.44865731756448,402.02920784918217,161.57758743733075
comb,positive tests,only_flow_norm,-10,78.25585357400064,63.851125739335664,-15.063493520160783
comb,test positivity rate,orig-only_flow_norm,-10,238.50737462430453,498.2381815178907,246.78186303591826
comb,test positivity rate,only_flow_norm,-10,-14.213501845925464,45.262796969886786,59.40759103492798
comb,hospital admissions,orig-only_flow_norm,-10,248.1020600613016,448.5725421146256,202.87749814216957
comb,hospital admissions,only_flow_norm,-10,-87.48360905880378,-157.75930038161255,-60.3836968627991
comb,Cook County beds in use,orig-only_flow_norm,-10,237.8486046725365,442.64735934036895,205.31665079831322
comb,Cook County beds in use,only_flow_norm,-10,-81.67868690979975,-138.35601272859796,-46.69888339806603
comb,positive tests,orig-pmmov_norm,-10,235.92790035380898,320.7140618415077,77.28550606462882
comb,positive tests,pmmov_norm,-10,91.60014522524006,46.1198358258519,-74.92536390469411
comb,test positivity rate,orig-pmmov_norm,-10,219.0295533102805,414.3354635196149,195.2971071882059
comb,test positivity rate,pmmov_norm,-10,-6.141976572116107,68.43052605341147,72.06858662036038
comb,hospital admissions,orig-pmmov_norm,-10,246.27561563179017,381.7799471884877,140.37825877052788
comb,hospital admissions,pmmov_norm,-10,-49.53997066105984,-127.72746634933932,-72.47449399231711
comb,Cook County beds in use,orig-pmmov_norm,-10,227.0559234136092,366.0761829369019,144.96006065807956
comb,Cook County beds in use,pmmov_norm,-10,-62.167834358994526,-120.62389914193875,-48.7723251788803
comb,positive tests,orig-only_bcov_norm,-10,140.90072424066807,230.70861717918893,95.79972322592516
comb,positive tests,only_bcov_norm,-10,63.391161647642605,26.215889663593526,-44.425988996254006
comb,test positivity rate,orig-only_bcov_norm,-10,126.12923065828079,254.84608235602175,129.83020956687122
comb,test positivity rate,only_bcov_norm,-10,-30.691559031063605,-0.534225694168958,34.10745465141616
comb,hospital admissions,orig-only_bcov_norm,-10,133.93121591696718,231.48599236665237,103.11564702672084
comb,hospital admissions,only_bcov_norm,-10,-86.61873950334274,-194.7436097329687,-103.93174187593289
comb,Cook County beds in use,orig-only_bcov_norm,-10,129.0860331811548,225.79409851199534,102.11928544220227
comb,Cook County beds in use,only_bcov_norm,-10,-90.18177123085405,-182.41295907410262,-84.11835365231397
comb,positive tests,orig-bcov_flow_norm,-10,172.3311288619285,261.4539001253604,94.18947767007637
comb,positive tests,bcov_flow_norm,-10,47.320156493550996,21.510566387690265,-20.734944387622285
comb,test positivity rate,orig-bcov_flow_norm,-10,146.4430040007682,283.65271016320764,139.13613314737114
comb,test positivity rate,bcov_flow_norm,-10,-46.826518028993576,-19.810595991159794,31.189142338659067
comb,hospital admissions,orig-bcov_flow_norm,-10,153.29135084384188,255.05855500696936,107.69200469565908
comb,hospital admissions,bcov_flow_norm,-10,-118.10065838429574,-218.1636591166505,-88.63799451906327
comb,Cook County beds in use,orig-bcov_flow_norm,-10,145.24567344950066,246.89343405604498,107.38507980873057
comb,Cook County beds in use,bcov_flow_norm,-10,-112.4453599596971,-201.06158121795815,-76.75068897228789
comb,positive tests,orig-pmmov_bcov_norm,-10,363.6431971268812,545.3065316242909,179.87141130217347
comb,positive tests,pmmov_bcov_norm,-10,65.33096437775401,26.333341113952027,-45.32540300351292
comb,test positivity rate,orig-pmmov_bcov_norm,-10,349.5437042801833,537.4819131012039,190.42436591587654
comb,test positivity rate,pmmov_bcov_norm,-10,-29.676966084297817,4.801279269740258,39.434481381275035
comb,hospital admissions,orig-pmmov_bcov_norm,-10,361.3152067481849,544.2443054919144,182.06290893636393
comb,hospital admissions,pmmov_bcov_norm,-10,-86.44870034746504,-192.9458725561094,-99.52646437874594
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,353.7217274709225,535.7609522494885,182.39476724539608
comb,Cook County beds in use,pmmov_bcov_norm,-10,-88.29996238140012,-180.26835489325302,-81.80530126005239
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,381.4481420616826,574.2276591526048,190.81755474299214
comb,positive tests,pmmov_bcov_flow_norm,-10,47.337601918564985,12.058017178790909,-31.159493720963866
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,363.9688898152226,567.1169362026887,206.7468111411219
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-49.78735351092229,-12.709183852582807,40.1917571226423
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,374.87505168978475,570.4889543627592,195.90932197981417
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-116.10488443904688,-216.21992085206082,-86.69387340413097
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,366.56465808123704,561.5440282880916,196.5392216401086
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-113.38393683819032,-200.00167564755733,-72.64807229046956
comb,positive tests,orig-raw_data,-9,214.6000723218031,361.15102834147814,152.30215684868338
comb,positive tests,raw_data,-9,95.43964304211568,59.03085235814271,-62.26569766839019
comb,test positivity rate,orig-raw_data,-9,217.32506862904995,467.8540509756857,236.18596759902974
comb,test positivity rate,raw_data,-9,14.156134382442076,73.22957409778856,61.333943206755116
comb,hospital admissions,orig-raw_data,-9,227.39082831323242,417.6552870935283,192.14171842996544
comb,hospital admissions,raw_data,-9,-50.4434053456427,-138.8867992129538,-87.8692601372196
comb,Cook County beds in use,orig-raw_data,-9,217.57254958198564,412.019834920388,194.42086734222877
comb,Cook County beds in use,raw_data,-9,-48.87604084310243,-114.74072441318832,-60.040181859962246
comb,positive tests,orig-only_flow_norm,-9,244.72528562884537,396.0787936737368,157.31136067653784
comb,positive tests,only_flow_norm,-9,70.45371629986738,48.62543634049403,-23.509848547528698
comb,test positivity rate,orig-only_flow_norm,-9,239.54752656478053,494.77528251909,243.80612365966442
comb,test positivity rate,only_flow_norm,-9,-10.597625308586032,39.730196341066105,52.843047156248225
comb,hospital admissions,orig-only_flow_norm,-9,248.26292229280017,444.18180094662273,199.02134108948206
comb,hospital admissions,only_flow_norm,-9,-92.21964923359991,-176.31741902518095,-74.85830611014872
comb,Cook County beds in use,orig-only_flow_norm,-9,237.7436580336141,437.90213208533925,201.50101991121386
comb,Cook County beds in use,only_flow_norm,-9,-81.43976613385456,-146.976719075678,-55.62057169555709
comb,positive tests,orig-pmmov_norm,-9,228.402449864375,308.49415113657216,72.6953270086214
comb,positive tests,pmmov_norm,-9,79.31495689825874,22.85271889665258,-89.40424244057758
comb,test positivity rate,orig-pmmov_norm,-9,217.98259867028673,409.13723054506386,191.80175303805783
