wwtp,prevind,fit,lag,aic
comb,positive tests,orig-raw_data,-10,361.36510969703147
comb,positive tests,raw_data,-10,63.85493801564098
comb,test positivity rate,orig-raw_data,-10,451.8388840413269
comb,test positivity rate,raw_data,-10,17.344670121756508
comb,hospital admissions,orig-raw_data,-10,410.10295377144996
comb,hospital admissions,raw_data,-10,-147.39038881357772
comb,Cook County beds in use,orig-raw_data,-10,402.66206749699404
comb,Cook County beds in use,raw_data,-10,-142.96453674428278
comb,positive tests,orig-only_flow_norm,-10,397.9069653428668
comb,positive tests,only_flow_norm,-10,41.59958369992569
comb,test positivity rate,orig-only_flow_norm,-10,478.23988191437786
comb,test positivity rate,only_flow_norm,-10,-15.713345254108617
comb,hospital admissions,orig-only_flow_norm,-10,436.5807493329227
comb,hospital admissions,only_flow_norm,-10,-190.45512105819614
comb,Cook County beds in use,orig-only_flow_norm,-10,427.8069408967224
comb,Cook County beds in use,only_flow_norm,-10,-177.56782841647907
comb,positive tests,orig-pmmov_norm,-10,316.7767709152206
comb,positive tests,pmmov_norm,-10,33.742278020950494
comb,test positivity rate,orig-pmmov_norm,-10,389.6648718021595
comb,test positivity rate,pmmov_norm,-10,1.5377540174373507
comb,hospital admissions,orig-pmmov_norm,-10,367.95775391196264
comb,hospital admissions,pmmov_norm,-10,-157.89043720550887
comb,Cook County beds in use,orig-pmmov_norm,-10,348.2906896835482
comb,Cook County beds in use,pmmov_norm,-10,-162.56073789172922
comb,positive tests,orig-only_bcov_norm,-10,223.50129327632885
comb,positive tests,only_bcov_norm,-10,8.914006426466699
comb,test positivity rate,orig-only_bcov_norm,-10,252.51384284629842
comb,test positivity rate,only_bcov_norm,-10,-54.54350588184104
comb,hospital admissions,orig-only_bcov_norm,-10,231.10060667986636
comb,hospital admissions,only_bcov_norm,-10,-214.30648701714892
comb,Cook County beds in use,orig-only_bcov_norm,-10,225.46251985679226
comb,Cook County beds in use,only_bcov_norm,-10,-209.9645893427329
comb,positive tests,orig-bcov_flow_norm,-10,256.82526533908504
comb,positive tests,bcov_flow_norm,-10,-2.8344023172738844
comb,test positivity rate,orig-bcov_flow_norm,-10,279.94188460880855
comb,test positivity rate,bcov_flow_norm,-10,-74.499293953343
comb,hospital admissions,orig-bcov_flow_norm,-10,254.5796476257268
comb,hospital admissions,bcov_flow_norm,-10,-243.5090231232797
comb,Cook County beds in use,orig-bcov_flow_norm,-10,246.0355077513782
comb,Cook County beds in use,bcov_flow_norm,-10,-231.53815284950645
comb,positive tests,orig-pmmov_bcov_norm,-10,542.0852242208725
comb,positive tests,pmmov_bcov_norm,-10,5.5905245539447606
comb,test positivity rate,orig-pmmov_bcov_norm,-10,534.6203430722577
comb,test positivity rate,pmmov_bcov_norm,-10,-52.54471018683125
comb,hospital admissions,orig-pmmov_bcov_norm,-10,542.6418951606554
comb,hospital admissions,pmmov_bcov_norm,-10,-212.8304678013609
comb,Cook County beds in use,orig-pmmov_bcov_norm,-10,533.9959117916449
comb,Cook County beds in use,pmmov_bcov_norm,-10,-208.3983534801572
comb,positive tests,orig-pmmov_bcov_flow_norm,-10,571.6123896175465
comb,positive tests,pmmov_bcov_flow_norm,-10,-12.583151526423194
comb,test positivity rate,orig-pmmov_bcov_flow_norm,-10,563.4092576553562
comb,test positivity rate,pmmov_bcov_flow_norm,-10,-73.94452449461062
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,568.5469477471235
comb,hospital admissions,pmmov_bcov_flow_norm,-10,-242.003088558478
comb,Cook County beds in use,orig-pmmov_bcov_flow_norm,-10,559.2716438404664
comb,Cook County beds in use,pmmov_bcov_flow_norm,-10,-233.51863564604753
comb,positive tests,orig-raw_data,-9,357.4780055426552
comb,positive tests,raw_data,-9,48.268552098347186
comb,test positivity rate,orig-raw_data,-9,449.3021010621787
comb,test positivity rate,raw_data,-9,14.726496370815312
comb,hospital admissions,orig-raw_data,-9,407.5482316800825
comb,hospital admissions,raw_data,-9,-163.48519941481698
comb,Cook County beds in use,orig-raw_data,-9,398.84284823833616
comb,Cook County beds in use,raw_data,-9,-149.61357994006755
