wwtp,prevind,fit,lag,window,start,aic,end
comb,hospital admissions,orig-raw_data,-10,2,2020-10-17,231.1063657844777,2020-10-31
comb,hospital admissions,raw_data,-10,2,2020-10-17,11.98174676893808,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-10,2,2020-10-17,255.42719275796208,2020-10-31
comb,hospital admissions,only_flow_norm,-10,2,2020-10-17,-18.995538880709372,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-10,2,2020-10-17,240.30917263742043,2020-10-31
comb,hospital admissions,pmmov_norm,-10,2,2020-10-17,1.485854578222359,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-10,2,2020-10-17,139.09081571970438,2020-10-31
comb,hospital admissions,only_bcov_norm,-10,2,2020-10-17,-28.040293217596115,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-10,2,2020-10-17,162.6618180946092,2020-10-31
comb,hospital admissions,bcov_flow_norm,-10,2,2020-10-17,-48.5152076558374,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-10,2,2020-10-17,376.3934237139514,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-10,2,2020-10-17,-26.05561552835735,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-10,2,2020-10-17,394.2245812759287,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-10,2,2020-10-17,-48.07500933403452,2020-10-31
comb,hospital admissions,orig-raw_data,-9,2,2020-10-17,230.82263067297828,2020-10-31
comb,hospital admissions,raw_data,-9,2,2020-10-17,10.123858548347073,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-9,2,2020-10-17,254.6894825603928,2020-10-31
comb,hospital admissions,only_flow_norm,-9,2,2020-10-17,-19.854980527570035,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-9,2,2020-10-17,237.75467213320812,2020-10-31
comb,hospital admissions,pmmov_norm,-9,2,2020-10-17,-1.5159262269830265,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-9,2,2020-10-17,136.04295314257672,2020-10-31
comb,hospital admissions,only_bcov_norm,-9,2,2020-10-17,-31.90076961686105,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-9,2,2020-10-17,159.17871959994665,2020-10-31
comb,hospital admissions,bcov_flow_norm,-9,2,2020-10-17,-51.33419697873006,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-9,2,2020-10-17,374.1480365022081,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-9,2,2020-10-17,-29.90127082547434,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_flow_norm,-9,2,2020-10-17,391.898348743627,2020-10-31
comb,hospital admissions,pmmov_bcov_flow_norm,-9,2,2020-10-17,-51.09342073970748,2020-10-31
comb,hospital admissions,orig-raw_data,-8,2,2020-10-17,231.23753388021225,2020-10-31
comb,hospital admissions,raw_data,-8,2,2020-10-17,8.313405756333452,2020-10-31
comb,hospital admissions,orig-only_flow_norm,-8,2,2020-10-17,254.1611600627147,2020-10-31
comb,hospital admissions,only_flow_norm,-8,2,2020-10-17,-19.653765762354112,2020-10-31
comb,hospital admissions,orig-pmmov_norm,-8,2,2020-10-17,235.4886679316986,2020-10-31
comb,hospital admissions,pmmov_norm,-8,2,2020-10-17,-4.538095499640974,2020-10-31
comb,hospital admissions,orig-only_bcov_norm,-8,2,2020-10-17,133.07011756751376,2020-10-31
comb,hospital admissions,only_bcov_norm,-8,2,2020-10-17,-35.99774540538118,2020-10-31
comb,hospital admissions,orig-bcov_flow_norm,-8,2,2020-10-17,155.09058849856132,2020-10-31
comb,hospital admissions,bcov_flow_norm,-8,2,2020-10-17,-53.47865532917291,2020-10-31
comb,hospital admissions,orig-pmmov_bcov_norm,-8,2,2020-10-17,371.72304964833467,2020-10-31
comb,hospital admissions,pmmov_bcov_norm,-8,2,2020-10-17,-34.0028059494602,2020-10-31
